Name,Short name,URL name,Tags,Home page,Publication scheme,Disclosure log,Notes,Created at,Updated at,Version
Advocacia-Geral da União,"",advocacia_geral_da_unio,executivo federal,http://www.agu.gov.br,"","","Contato: Adão Paulo Oliveira
Telefone: (61) 3105-8537 / 8524",2011-10-31 12:45:18 -0200,2012-01-25 20:11:13 -0200,4
Agência Metropolitana da Baixada Santista,"",agncia_metropolitana_da_baixada_santista,governo executivo estadual,http://www.sdmetropolitano.sp.gov.br,"","","Endereço: R. Joaquim Tavora, 93 - 6 ° andar - Vila Matias - Santos - SP - CEP: 11075-300 # Telefone: (13) 3202-7000",2013-03-02 13:41:19 -0300,2013-03-02 13:41:19 -0300,1
Agência Metropolitana de Campinas,"",agncia_metropolitana_de_campinas,governo executivo estadual,http://www.sic.com.br,"","","Endereço: R. Cândido Gomide, 778 - casa - Jd Guanabara - Campinas - SP - CEP: 13073-200 # Telefone: (19) 3213-6343 / 3211-5605 / 3211-5606",2013-03-02 13:41:19 -0300,2013-03-02 13:41:19 -0300,1
ALESP - Assembleia Legislativa do Estado de São Paulo,ALESP,alesp,legislativo estadual,http://www.al.sp.gov.br,"","","",2011-11-08 18:15:59 -0200,2011-11-08 18:15:59 -0200,1
Agência Nacional de Águas – ANA,ANA,ana,"",http://www2.ana.gov.br/Paginas/default.aspx,"","","A Agência Nacional de Águas tem como missão implementar e coordenar a gestão compartilhada e integrada dos recursos hídricos e regular o acesso a água, promovendo o seu uso sustentável em benefício da atual e das futuras gerações. Além disso, a instituição possui outras definições estratégicas centrais.",2012-01-16 13:05:25 -0200,2012-01-16 13:05:25 -0200,1
Agência Nacional de Telecomunicações,Anatel,anatel,"",http://www.anatel.gov.br,www.anatel.gov.br /acesso à informação/serviço de informações ao cidadão,"","Autoridade da Anatel responsável pelo monitoramento da implementação da Lei: Marilda Moreira /// Nome do servidor responsável pelo SIC: Maria Aparecida Mangussi Costa Gomes
",2012-05-22 13:19:54 -0300,2012-05-22 13:19:54 -0300,1
Agência Nacional do Cinema – ANCINE,ANCINE,ancine,"",http://www.ancine.gov.br/,"","","A ANCINE – Agência Nacional do Cinema é uma agência reguladora que tem como atribuições o fomento, a regulação e a fiscalização do mercado do cinema e do audiovisual no Brasil. É uma autarquia especial, vinculada desde 2003 ao Ministério da Cultura, com sede e foro no Distrito Federal e Escritório Central no Rio de Janeiro.",2012-01-16 13:05:25 -0200,2012-06-11 23:27:25 -0300,2
Agência Nacional de Energia Elétrica,ANEEL,aneel,infraestrutura federal executivo,http://www.aneel.gov.br,www.aneel.gov.br / Acesso à Informação / Serviço de Informações ao Cidadão,"","Responsáveis pelo atendimento do SIC: Perla Popov Custódio; Guilherme Fávero Rocco; Manoel de Souza Neves; Luiz Sérgio da Silva

Telefone: 167


",2012-02-24 14:16:37 -0200,2012-05-22 13:04:53 -0300,2
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",ANP,anp,executivo federal,http://www.anp.gov.br/,"","","",2011-11-26 15:35:14 -0200,2011-11-26 15:35:14 -0200,1
Agência Nacional de Saúde Suplementar,ANS,ans,"",http://www.ans.gov.br,http://www.ans.gov.br/index.php/acessoainformacao-/servico-de-informacao-ao-cidadao-sic,"","Servidor responsável: Mauricio Correia Santana /// Telefone: 0800 701 9656 /// Autoridade responsável: Cesar Brenha Rocha Serra
",2012-05-22 13:31:59 -0300,2012-05-22 13:31:59 -0300,1
